google_place_id,google_name,google_address,google_phone,google_geoid,yelp_id,yelp_name,yelp_address,yelp_phone,yelp_geoid,similarity_score,match_confidence,pass_number,reviewer_decision,reviewer_notes
ChIJe851K8m1RIYRCAtuaL2yc-k,The Cavalier,"2400 Webberville Rd suite a, Austin, TX 78702, USA",(512) 696-4318,48453000902,451QGZH6G-Skz39C8YhI2w,The Cavalier,2400 Webberville Rd,15126964318,48453000902,,exact_phone_conflict,1,confirmed,exact name + address match
ChIJe851K8m1RIYRCAtuaL2yc-k,The Cavalier,"2400 Webberville Rd suite a, Austin, TX 78702, USA",(512) 696-4318,48453000902,pWE477ETbAI94isAxpbXNA,Wicky's Walkup,2400 Webberville Rd,15126964318,48453000902,,exact_phone_conflict,1,rejected_shared_phone,different business at same address - Wickys Walkup is separate bar
ChIJ49Pqc-m1RIYRbAtuYVJe1Qo,VINYL Beauty Bar,"2400 E Cesar Chavez St UNIT 312, Austin, TX 78702, USA",(512) 666-7713,48453000902,OFMofdB171IN7hmxZn7Dqw,VINYL Beauty Bar,2400 E Cesar Chavez,15126667713,48453000902,,exact_phone_conflict,1,confirmed,exact name + address match
ChIJ49Pqc-m1RIYRbAtuYVJe1Qo,VINYL Beauty Bar,"2400 E Cesar Chavez St UNIT 312, Austin, TX 78702, USA",(512) 666-7713,48453000902,ueSKddBXSsZw28VE0eSp9A,Vinyl Beauty Bar,2400 E Cesar Chavez St,15126667713,48453000902,,exact_phone_conflict,1,rejected_yelp_duplicate,same business - capitalization variant of same listing
ChIJ-SO0SkS1RIYRVS-cxs1a_O0,ATX 512 Mobile Mechanic Global,"1401 E 12th St #118, Austin, TX 78702, USA",(512) 413-2387,48453000902,3EGeiqSt3uLbLnPRHjKJ_g,ATX 512 Mobile Mechanic Global ,,15124132387,48453000902,,exact_phone_conflict,1,confirmed,exact name match
ChIJ-SO0SkS1RIYRVS-cxs1a_O0,ATX 512 Mobile Mechanic Global,"1401 E 12th St #118, Austin, TX 78702, USA",(512) 413-2387,48453000902,iiK-IPDLlTGOyDoZzGKLEw,512 Mobile Mechanic,140 E 12th St,15124132387,48453000902,,exact_phone_conflict,1,rejected_yelp_duplicate,same business - shortened name variant
ChIJwcBel7C1RIYRP3UMLr764pE,Speedy Pick,"2314 E 7th St, Austin, TX 78702, USA",(512) 322-9056,48453000902,Y5CDtLHlrZdtSxPHB3FcsQ,Major Brand Gas,2500 E 7th St,15123229056,48453000902,,exact_phone_conflict,1,confirmed,confirmed by local knowledge - Major Brand Gas is the business at this address
ChIJwcBel7C1RIYRP3UMLr764pE,Speedy Pick,"2314 E 7th St, Austin, TX 78702, USA",(512) 322-9056,48453000902,ajDE3cPdTEAnoLTwrrHOOg,Speedy Pick,2500 E 7th St,15123229056,48453000902,,exact_phone_conflict,1,rejected_shared_phone,rejected by local knowledge - Major Brand Gas confirmed as correct match at this address
ChIJ2W5MfTG3RIYR45qMKT98Rl8,QuikTrip,"6414 Ed Bluestein Blvd, Austin, TX 78723, USA",(512) 382-2738,48453002108,Qr5emQA0UYEUdgtxlJHyvw,QuikTrip,6414 Ed Bluestein Blvd,15123822738,48453002108,,exact_phone_conflict,1,confirmed,exact name + address match
ChIJ9W-a1i-2RIYRs4XLSDf8wHI,East Communities YMCA,"5315 Ed Bluestein Blvd, Austin, TX 78723, USA",(512) 933-9622,48453002108,i1sSzRm_Sq5f2wWr8A4Snw,East Communities Branch YMCA,5315 Ed Bluestein Blvd,15129339622,48453002108,,exact_phone_conflict,1,confirmed,name match - Branch YMCA is the full official name
